SECTION,SUB-SECTION,FIELD,CURRENT CONTENT,YOUR REPLACEMENT
GLOBAL,Page Meta,Browser tab title,AiGENTiA — Intelligent Agency,
GLOBAL,Page Meta,Meta description,AiGENTiA — Intelligent Agency. AI Management Agency specialising in agent design; deployment and governance.,
GLOBAL,Brand,Brand name,AiGENTiA,
GLOBAL,Brand,Tagline,INTELLIGENT AGENCY,
GLOBAL,Brand,Alt text (mark images),(empty — decorative),
,,,,
SIDEBAR,Social Links,YouTube URL,https://youtube.com/@aigentia,
SIDEBAR,Social Links,TikTok URL,https://tiktok.com/@aigentia,
SIDEBAR,Social Links,LinkedIn URL,https://linkedin.com/company/aigentia,
SIDEBAR,Social Links,Instagram URL,https://instagram.com/aigentia.official,
,,,,
SIDEBAR,Navigation,Item 1 label,About AiGENTiA,
SIDEBAR,Navigation,Item 2 label,AI Management,
SIDEBAR,Navigation,Item 3 label,AI Advisory,
SIDEBAR,Navigation,Item 4 label,AI Finance,
SIDEBAR,Navigation,Item 5 label,AI Readiness,
SIDEBAR,Navigation,Item 6 label,Tokenization,
SIDEBAR,Navigation,Item 7 label,Finance Assessment,
SIDEBAR,Navigation,Item 8 label,Ai Management Academy,
SIDEBAR,Navigation,Item 9 label,Events,
SIDEBAR,Navigation,Item 10 label,Calendar,
SIDEBAR,Navigation,Item 11 label,Contact,
,,,,
HERO,Starter Buttons,Button 1,SHOW ME YOUR AI IMPLEMENTATION PROCESS,
HERO,Starter Buttons,Button 2,WHO IS BEHIND AIGENTIA?,
HERO,Starter Buttons,Button 3,WHAT IS AN AI AGENT?,
HERO,Starter Buttons,Button 4,BEGIN THE AI READINESS ASSESSMENT,
HERO,Chat input,Placeholder text,Ask anything about AI agents; governance; or AiGENTiA…,
,,,,
CONTENT — ABOUT,About AiGENTiA,Title,About AiGENTiA,
CONTENT — ABOUT,About AiGENTiA,Body — paragraph 1,"AiGENTiA is an AI Management Agency. We work with organisations navigating the transition from AI experimentation to AI operation — designing, deploying, and governing the autonomous systems that will define how work gets done.",
CONTENT — ABOUT,About AiGENTiA,Body — paragraph 2,"The shift to agent-based AI is not primarily a technology problem. It is a governance problem, an organisational problem, and a human problem. Most AI consultancies approach it as the former. We address all three.",
CONTENT — ABOUT,About AiGENTiA,Body — methodology line,Our practice spans five phases: Assess → Design → Deploy → Manage → Govern.,
CONTENT — ABOUT,About AiGENTiA,Body — founder line,"Founded by M. Cenan Demirel — a practitioner whose background spans economic and organisational sociology, AI safety at a frontier AI laboratory, Wharton AI Strategy and Governance certification, and multiple AI advisory and product management roles.",
CONTENT — ABOUT,About AiGENTiA,Body — location line,Based in Germany with international engagements.,
,,,,
CONTENT — WELCOME,Welcome (first response),Title,Welcome,
CONTENT — WELCOME,Welcome (first response),Body — paragraph 1,"AiGENTiA is an AI Management Agency. We work with organisations navigating the transition from AI experimentation to AI operation — designing, deploying, and governing the autonomous systems that will define how work gets done.",
CONTENT — WELCOME,Welcome (first response),Body — paragraph 2,"The shift to agent-based AI is not primarily a technology problem. It is a governance problem, an organisational problem, and a human problem. Most AI consultancies approach it as the former. We address all three.",
CONTENT — WELCOME,Welcome (first response),Body — methodology line,Our practice spans five phases: Assess → Design → Deploy → Manage → Govern.,
CONTENT — WELCOME,Welcome (first response),Body — closing question,What would you like to explore?,
,,,,
CONTENT — PHILOSOPHY,Our Philosophy,Title,Our Philosophy,
CONTENT — PHILOSOPHY,Our Philosophy,Principle 1 heading,Governance First.,
CONTENT — PHILOSOPHY,Our Philosophy,Principle 1 body,"Every service we deliver has governance built in from the outset — not added as a compliance afterthought. This is non-negotiable.",
CONTENT — PHILOSOPHY,Our Philosophy,Principle 2 heading,Methodology Over Enthusiasm.,
CONTENT — PHILOSOPHY,Our Philosophy,Principle 2 body,"We do not chase hype. The Assess→Design→Deploy→Manage→Govern framework exists because sequencing matters and mistakes are expensive.",
CONTENT — PHILOSOPHY,Our Philosophy,Principle 3 heading,Interdisciplinary Rigour.,
CONTENT — PHILOSOPHY,Our Philosophy,Principle 3 body,"Our work draws on economic sociology, AI safety research, strategic advisory and executive coaching — because agent adoption is a human system challenge, not just a technical one.",
CONTENT — PHILOSOPHY,Our Philosophy,Principle 4 heading,Continuous Intelligence.,
CONTENT — PHILOSOPHY,Our Philosophy,Principle 4 body,"We do not deliver a strategy and disappear. Our Advisory practice provides ongoing intelligence on the forces that will invalidate strategies built on outdated assumptions.",
CONTENT — PHILOSOPHY,Our Philosophy,Principle 5 heading,Vendor Independence.,
CONTENT — PHILOSOPHY,Our Philosophy,Principle 5 body,"AiGENTiA has no commercial relationship with any AI model provider, platform vendor or tool company. Our recommendations are based solely on client fit.",
,,,,
CONTENT — WHO IS BEHIND,Founder / Team,Title,Who Is Behind AiGENTiA,
CONTENT — WHO IS BEHIND,Founder / Team,Founder name,M. Cenan Demirel,
CONTENT — WHO IS BEHIND,Founder / Team,Background summary,"a practitioner whose background spans economic and organisational sociology, AI safety and prompt analysis at a frontier AI laboratory, Wharton AI Strategy and Governance certification, ICF Level 1 Coaching with neuroscience specialisation, and multiple AI advisory and product management roles.",
CONTENT — WHO IS BEHIND,Founder / Team,Mission statement,"The firm was built on the conviction that the organisations that will thrive in the agent economy are not those that adopt AI fastest, but those that govern it best — and that governance capacity must be built deliberately, not assumed.",
CONTENT — WHO IS BEHIND,Founder / Team,Credential 1,PhD Candidacy — Economic & Organisational Sociology,
CONTENT — WHO IS BEHIND,Founder / Team,Credential 2,ICF Level 1 Coaching · Neuroscience Specialisation,
CONTENT — WHO IS BEHIND,Founder / Team,Credential 3,AI Safety & Prompt Analysis — Frontier AI Laboratory,
CONTENT — WHO IS BEHIND,Founder / Team,Credential 4,Wharton AI Strategy & Governance Certification,
CONTENT — WHO IS BEHIND,Founder / Team,Location,Based in Germany with international engagements.,
CONTENT — WHO IS BEHIND,Founder / Team,Name meaning explanation,"AiGENTiA breaks down as Ai · GENT · iA — AI, gentes (people), and intelligent agency. The Latin tagline Agens Intelligens translates as Intelligent Agency — a system that acts with intelligence, on behalf of people. This is not a coincidence. It is a commitment.",
,,,,
CONTENT — PORTFOLIO,Services,Title,Agency Portfolio,
CONTENT — PORTFOLIO,Services,Intro paragraph,"AiGENTiA offers eleven integrated services spanning the complete arc of AI adoption — from initial readiness assessment to ongoing governance. Each service is designed to be deployed independently or as part of a full transformation programme.",
CONTENT — PORTFOLIO,Services,ASSESS — service 1,AI Readiness Audit — structured diagnostic across people; process; data and technology,
CONTENT — PORTFOLIO,Services,DESIGN — service 2,Agent Architecture & Design — blueprint multi-agent systems aligned to business goals,
CONTENT — PORTFOLIO,Services,DESIGN — service 3,Agent Workflow Mapping — define what each agent does; in what sequence; with what data,
CONTENT — PORTFOLIO,Services,DEPLOY — service 4,Agent Implementation — build; test; integrate and deploy AI agents,
CONTENT — PORTFOLIO,Services,DEPLOY — service 5,AI Marketing & Campaign Agents — autonomous agents for campaigns; content and optimisation,
CONTENT — PORTFOLIO,Services,MANAGE — service 6,AI Training & Change Management — prepare your people for an agent-augmented organisation,
CONTENT — PORTFOLIO,Services,MANAGE — service 7,Agent Performance Management — continuous monitoring of accuracy; cost and compliance,
CONTENT — PORTFOLIO,Services,GOVERN — service 8,AI Governance & Safety — policy design; control frameworks and risk registers,
CONTENT — PORTFOLIO,Services,GOVERN — service 9,AI Brand & Communication Strategy — shaping the narrative for customers; staff and regulators,
CONTENT — PORTFOLIO,Services,GOVERN — service 10,AI Governance Retainer — ongoing advisory on governance and regulatory changes,
CONTENT — PORTFOLIO,Services,Closing statement,"Every service AiGENTiA delivers has governance built in — not added afterwards. This is the foundational distinction between AI adoption and AI operation.",
,,,,
CONTENT — HOW WE WORK,Methodology,Title,How AiGENTiA Works,
CONTENT — HOW WE WORK,Methodology,Intro,"Every AiGENTiA engagement follows a disciplined five-phase methodology. The sequence is not rigid — phases may overlap or be revisited — but the logic is invariable: you cannot govern what you have not assessed, and you cannot deploy what you have not designed.",
CONTENT — HOW WE WORK,Methodology,Phase 01 name,ASSESS,
CONTENT — HOW WE WORK,Methodology,Phase 01 description,"Understanding before action. We map your organisation's readiness across people, process, data, technology and governance. No assumptions. No vendor agenda. Honest diagnosis.",
CONTENT — HOW WE WORK,Methodology,Phase 02 name,DESIGN,
CONTENT — HOW WE WORK,Methodology,Phase 02 description,"Architecture before code. We blueprint agent systems, workflow logic, AOS requirements and human oversight structures. The design phase prevents the most expensive mistakes.",
CONTENT — HOW WE WORK,Methodology,Phase 03 name,DEPLOY,
CONTENT — HOW WE WORK,Methodology,Phase 03 description,"Controlled implementation. Agents are built, tested and deployed against the approved design. Integration, QA and safety testing are mandatory steps, not optional extras.",
CONTENT — HOW WE WORK,Methodology,Phase 04 name,MANAGE,
CONTENT — HOW WE WORK,Methodology,Phase 04 description,"Operations and optimisation. Deployed agents require active management — performance monitoring, model updates, cost control and continuous alignment with business objectives.",
CONTENT — HOW WE WORK,Methodology,Phase 05 name,GOVERN,
CONTENT — HOW WE WORK,Methodology,Phase 05 description,"Governance is not a phase — it is a permanent condition. We establish the policies, controls and structures that keep agents operating within mandate.",
CONTENT — HOW WE WORK,Methodology,Closing statement,"The methodology exists because the failure modes of AI adoption are well-documented: organisations deploy before they design, operate without governing, and scale before they understand. We reverse that sequence.",
,,,,
CONTENT — AI MANAGEMENT,AI Management,Title,AI Management,
CONTENT — AI MANAGEMENT,AI Management,Intro,"AI Management is the practice of deploying, operating and governing AI agents as live organisational assets — not as pilots, experiments, or innovation projects.",
CONTENT — AI MANAGEMENT,AI Management,Service 1 heading,Agent Performance Management,
CONTENT — AI MANAGEMENT,AI Management,Service 1 body,"Continuous monitoring of agent accuracy, cost efficiency and compliance posture. Agents drift — their behaviour diverges from intent without active management.",
CONTENT — AI MANAGEMENT,AI Management,Service 2 heading,Agent Operating System Operations,
CONTENT — AI MANAGEMENT,AI Management,Service 2 body,"Orchestration, permissions, audit logging and resource management for deployed multi-agent systems. The governance infrastructure that makes agents safe to operate at scale.",
CONTENT — AI MANAGEMENT,AI Management,Service 3 heading,Cost and Token Management,
CONTENT — AI MANAGEMENT,AI Management,Service 3 body,"Per-agent API budgets, token optimisation, model routing and cost monitoring. Unmanaged token consumption becomes a material financial risk at scale.",
CONTENT — AI MANAGEMENT,AI Management,Service 4 heading,Compliance and Audit,
CONTENT — AI MANAGEMENT,AI Management,Service 4 body,"Continuous alignment with EU AI Act requirements, GDPR obligations and sector-specific regulations. Audit trails and compliance evidence maintained as standard.",
CONTENT — AI MANAGEMENT,AI Management,Service 5 heading,Incident Management,
CONTENT — AI MANAGEMENT,AI Management,Service 5 body,"Defined protocols for agent failures, unexpected outputs, escalations and remediation. Because agents will behave unexpectedly — the question is whether you are prepared.",
